Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementText(findTestObject(""Checkout/Track Order/text_order_status""), ""WAIT"")",Firefox 151.0.1,,,26-05-2026 14:43:59,26-05-2026 14:44:00,0.329s,PASSED
takeScreenshot(),Firefox 151.0.1,,,26-05-2026 14:44:00,26-05-2026 14:44:00,0.266s,PASSED
closeBrowser(),Firefox 151.0.1,,,26-05-2026 14:44:00,26-05-2026 14:44:01,0.845s,PASSED
Video,Firefox 151.0.1,,,26-05-2026 14:44:03,26-05-2026 14:44:03,0.001s,PASSED
,,,,,,,
Test Cases/WEB/Checkout/Ensure Indonesian copywriting consistency for Cancel Reason,Firefox 151.0.1,,,26-05-2026 14:44:03,26-05-2026 14:44:53,50.317s,PASSED
openBrowser(URL),Firefox 151.0.1,,,26-05-2026 14:44:03,26-05-2026 14:44:07,4.137s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Firefox 151.0.1,,,26-05-2026 14:44:07,26-05-2026 14:44:07,0.280s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Firefox 151.0.1,,,26-05-2026 14:44:07,26-05-2026 14:44:08,0.562s,PASSED
custom.BrowserHelper.closeFirefoxPopup(),Firefox 151.0.1,,,26-05-2026 14:44:08,26-05-2026 14:44:10,2.293s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,26-05-2026 14:44:10,26-05-2026 14:44:11,0.498s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,26-05-2026 14:44:11,26-05-2026 14:44:11,0.732s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Firefox 151.0.1,,,26-05-2026 14:44:11,26-05-2026 14:44:12,0.513s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Firefox 151.0.1,,,26-05-2026 14:44:12,26-05-2026 14:44:13,0.501s,PASSED
"verifyElementVisible(findTestObject(""Home Page/verify-succes-acount-login""))",Firefox 151.0.1,,,26-05-2026 14:44:13,26-05-2026 14:44:14,1.701s,PASSED
"click(findTestObject(""Home Page/Search/icon-search""))",Firefox 151.0.1,,,26-05-2026 14:44:14,26-05-2026 14:44:15,1.066s,PASSED
"click(findTestObject(""Home Page/Search/field-search""))",Firefox 151.0.1,,,26-05-2026 14:44:15,26-05-2026 14:44:16,0.294s,PASSED
"sendKeys(findTestObject(""Home Page/Search/field-search""), Keys.chord(""IPHONE 12 PRO MAX 128GB GOLD"", ENTER))",Firefox 151.0.1,,,26-05-2026 14:44:16,26-05-2026 14:44:16,0.663s,PASSED
"verifyElementVisible(findTestObject(""Home Page/Search/verify-product-iphone-12 -pro""))",Firefox 151.0.1,,,26-05-2026 14:44:16,26-05-2026 14:44:19,2.728s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/btn-product - IPHONE 12 PRO MAX 128GB GOLD""))",Firefox 151.0.1,,,26-05-2026 14:44:19,26-05-2026 14:44:19,0.301s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/button_Add to Cart""))",Firefox 151.0.1,,,26-05-2026 14:44:19,26-05-2026 14:44:22,2.352s,PASSED
"waitForElementPresent(findTestObject(""Product and Cart/Add to cart/i_icon-cart""), 7)",Firefox 151.0.1,,,26-05-2026 14:44:22,26-05-2026 14:44:22,0.430s,PASSED
"click(findTestObject(""Product and Cart/Add to cart/i_icon-cart""))",Firefox 151.0.1,,,26-05-2026 14:44:22,26-05-2026 14:44:22,0.306s,PASSED
"verifyElementVisible(findTestObject(""Checkout/Address/Address Ship To/btn_checkout""), STOP_ON_FAILURE)",Firefox 151.0.1,,,26-05-2026 14:44:22,26-05-2026 14:44:23,1.052s,PASSED
"click(findTestObject(""Checkout/Address/Address Ship To/btn_checkout""))",Firefox 151.0.1,,,26-05-2026 14:44:23,26-05-2026 14:44:24,0.287s,PASSED
"click(findTestObject(""Checkout/Order Summary/Online Payment - Cradit Card""))",Firefox 151.0.1,,,26-05-2026 14:44:24,26-05-2026 14:44:25,1.524s,PASSED
"check(findTestObject(""Checkout/Order Summary/Checkbox__I accept""))",Firefox 151.0.1,,,26-05-2026 14:44:25,26-05-2026 14:44:26,1.021s,PASSED
"click(findTestObject(""Checkout/Order Summary/button_Checkout_Payment""))",Firefox 151.0.1,,,26-05-2026 14:44:26,26-05-2026 14:44:27,0.916s,PASSED
