Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Address_TestSuite,Chrome 149.0.7827.103,,,07-07-2026 09:35:04,07-07-2026 09:37:47,2m - 42.784s,PASSED
,,,,,,,
Test Cases/WEB/Address Management/Ensure My Address - add new address,Chrome 149.0.7827.103,,,07-07-2026 09:35:04,07-07-2026 09:35:37,33.048s,PASSED
randomFirstName = custom.RandomData.generateRandomFirstName(),Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:05,0.081s,PASSED
randomEmail = custom.RandomData.generateRandomEmail(),Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:05,0.080s,PASSED
randomLastName = custom.RandomData.generateRandomLastName(),Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:05,0.006s,PASSED
randomPhone = custom.RandomData.generateRandomPhone(),Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:05,0.045s,PASSED
randomAddress = custom.RandomData.generateRandomAddress(),Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:05,0.006s,PASSED
randomCode = custom.RandomData.generateRandomCode(),Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:05,0.007s,PASSED
"openBrowser("""")",Chrome 149.0.7827.103,,,07-07-2026 09:35:05,07-07-2026 09:35:08,2.866s,PASSED
"setViewPortSize(1920, 1080)",Chrome 149.0.7827.103,,,07-07-2026 09:35:08,07-07-2026 09:35:08,0.098s,PASSED
navigateToUrl(URL),Chrome 149.0.7827.103,,,07-07-2026 09:35:08,07-07-2026 09:35:10,1.986s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 149.0.7827.103,,,07-07-2026 09:35:10,07-07-2026 09:35:10,0.093s,PASSED
waitForPageLoad(30),Chrome 149.0.7827.103,,,07-07-2026 09:35:10,07-07-2026 09:35:10,0.132s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:10,07-07-2026 09:35:11,0.400s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:11,07-07-2026 09:35:11,0.516s,PASSED
"click(findTestObject(""WEB/Registration/icon-acount""))",Chrome 149.0.7827.103,,,07-07-2026 09:35:11,07-07-2026 09:35:12,0.377s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:12,07-07-2026 09:35:12,0.684s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Chrome 149.0.7827.103,,,07-07-2026 09:35:12,07-07-2026 09:35:13,0.703s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-Password""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:13,07-07-2026 09:35:13,0.471s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Chrome 149.0.7827.103,,,07-07-2026 09:35:13,07-07-2026 09:35:14,0.653s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:14,07-07-2026 09:35:15,0.492s,PASSED
"click(findTestObject(""WEB/Login/btn-sign in""))",Chrome 149.0.7827.103,,,07-07-2026 09:35:15,07-07-2026 09:35:15,0.303s,PASSED
waitForPageLoad(30),Chrome 149.0.7827.103,,,07-07-2026 09:35:15,07-07-2026 09:35:15,0.007s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/icon-acount""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:15,07-07-2026 09:35:15,0.457s,PASSED
"mouseOver(findTestObject(""WEB/Registration/icon-acount""))",Chrome 149.0.7827.103,,,07-07-2026 09:35:15,07-07-2026 09:35:16,0.393s,PASSED
"waitForElementClickable(findTestObject(""WEB/Address Management/Shipping Address/btn_My Address""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:16,07-07-2026 09:35:17,1.749s,PASSED
"click(findTestObject(""WEB/Address Management/Shipping Address/btn_My Address""))",Chrome 149.0.7827.103,,,07-07-2026 09:35:17,07-07-2026 09:35:19,1.070s,PASSED
"waitForElementClickable(findTestObject(""WEB/Address Management/Add New Address/div_Add New Address""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:19,07-07-2026 09:35:20,1.428s,PASSED
"click(findTestObject(""WEB/Address Management/Add New Address/div_Add New Address""))",Chrome 149.0.7827.103,,,07-07-2026 09:35:20,07-07-2026 09:35:20,0.330s,PASSED
"waitForElementVisible(findTestObject(""WEB/Address Management/Add New Address/field_First Name""), 30)",Chrome 149.0.7827.103,,,07-07-2026 09:35:20,07-07-2026 09:35:21,0.695s,PASSED
