Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Address_TestSuite,Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:55:57,26m - 33.517s,PASSED
,,,,,,,
Test Cases/WEB/Address Management/Ensure My Address - add new address,Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:51,27.280s,PASSED
randomFirstName = custom.RandomData.generateRandomFirstName(),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:24,0.034s,PASSED
randomEmail = custom.RandomData.generateRandomEmail(),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:24,0.048s,PASSED
randomLastName = custom.RandomData.generateRandomLastName(),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:24,0.004s,PASSED
randomPhone = custom.RandomData.generateRandomPhone(),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:24,0.010s,PASSED
randomAddress = custom.RandomData.generateRandomAddress(),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:24,0.005s,PASSED
randomCode = custom.RandomData.generateRandomCode(),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:24,0.004s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,29-05-2026 13:29:24,29-05-2026 13:29:28,3.790s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:28,29-05-2026 13:29:28,0.325s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:28,29-05-2026 13:29:29,0.650s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 13:29:29,29-05-2026 13:29:30,1.084s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,29-05-2026 13:29:30,29-05-2026 13:29:31,0.790s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:31,29-05-2026 13:29:32,0.526s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:32,29-05-2026 13:29:32,0.485s,PASSED
"click(findTestObject(""Address Management/Shipping Address/btn_My Address""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:32,29-05-2026 13:29:35,3.088s,PASSED
"click(findTestObject(""Address Management/Add New Address/div_Add New Address""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:35,29-05-2026 13:29:36,0.803s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_First Name""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:36,29-05-2026 13:29:36,0.554s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_First Name""), randomFirstName)",Chrome 148.0.7778.179,,,29-05-2026 13:29:36,29-05-2026 13:29:37,1.025s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_Last Name""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:37,29-05-2026 13:29:38,0.796s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_Last Name""), randomLastName)",Chrome 148.0.7778.179,,,29-05-2026 13:29:38,29-05-2026 13:29:39,0.589s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_Mobile Phone""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:39,29-05-2026 13:29:39,0.472s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_Mobile Phone""), randomPhone)",Chrome 148.0.7778.179,,,29-05-2026 13:29:39,29-05-2026 13:29:40,0.600s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_E-mail""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:40,29-05-2026 13:29:40,0.442s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_E-mail""), randomEmail)",Chrome 148.0.7778.179,,,29-05-2026 13:29:40,29-05-2026 13:29:41,0.623s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_Address""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:41,29-05-2026 13:29:41,0.349s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_Address""), randomAddress)",Chrome 148.0.7778.179,,,29-05-2026 13:29:41,29-05-2026 13:29:42,0.622s,PASSED
"click(findTestObject(""Address Management/Add New Address/dropdown_Province""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:42,29-05-2026 13:29:42,0.504s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/Dropdown Province/li_Banteay Meanchey Province""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:42,29-05-2026 13:29:43,0.460s,PASSED
"click(findTestObject(""Address Management/Add New Address/Dropdown Province/li_Banteay Meanchey Province""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:43,29-05-2026 13:29:43,0.306s,PASSED
"click(findTestObject(""Address Management/Add New Address/dropdown_Select Province""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:43,29-05-2026 13:29:44,0.284s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/Dropdown Select Province/li_Paoy Paet Municipality""), 0)",Chrome 148.0.7778.179,,,29-05-2026 13:29:44,29-05-2026 13:29:45,1.097s,PASSED
"click(findTestObject(""Address Management/Add New Address/Dropdown Select Province/li_Paoy Paet Municipality""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:29:45,29-05-2026 13:29:45,0.295s,PASSED
"click(findTestObject(""Address Management/Add New Address/dropdown_Districts""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:45,29-05-2026 13:29:45,0.289s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/Dropdown District/li_Sangkat Kandal""), 10)",Chrome 148.0.7778.179,,,29-05-2026 13:29:45,29-05-2026 13:29:46,1.130s,PASSED
"click(findTestObject(""Address Management/Add New Address/Dropdown District/li_Sangkat Kandal""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:46,29-05-2026 13:29:47,0.287s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_ZipPostal Code""), randomCode)",Chrome 148.0.7778.179,,,29-05-2026 13:29:47,29-05-2026 13:29:47,0.581s,PASSED
"click(findTestObject(""Address Management/Add New Address/button_Save""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:47,29-05-2026 13:29:48,0.519s,PASSED
"scrollToElement(findTestObject(""Address Management/Shipping Address/lbl_Shipping Address""), 3)",Chrome 148.0.7778.179,,,29-05-2026 13:29:48,29-05-2026 13:29:48,0.461s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,29-05-2026 13:29:48,29-05-2026 13:29:49,0.663s,PASSED
"comment(""Email      : "" + randomEmail)",Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.016s,PASSED
"comment(""First Name : "" + randomFirstName)",Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.003s,PASSED
"comment(""Last Name  : "" + randomLastName)",Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.002s,PASSED
"comment(""Phone      : "" + randomPhone)",Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.003s,PASSED
"comment(""Address    : "" + randomAddress)",Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.003s,PASSED
"comment(""Code    : "" + randomCode)",Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.002s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,29-05-2026 13:29:49,29-05-2026 13:29:49,0.213s,PASSED
,,,,,,,
Test Cases/WEB/Address Management/Ensure My Address - Edit address,Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:30:15,23.565s,PASSED
randomEmail = custom.RandomData.generateRandomEmail(),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:51,0.004s,PASSED
randomFirstName = custom.RandomData.generateRandomFirstName(),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:51,0.003s,PASSED
randomLastName = custom.RandomData.generateRandomLastName(),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:51,0.003s,PASSED
randomPhone = custom.RandomData.generateRandomPhone(),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:51,0.003s,PASSED
randomAddress = custom.RandomData.generateRandomAddress(),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:51,0.004s,PASSED
randomCode = custom.RandomData.generateRandomCode(),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:51,0.003s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,29-05-2026 13:29:51,29-05-2026 13:29:54,2.697s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:54,29-05-2026 13:29:54,0.259s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:54,29-05-2026 13:29:55,0.612s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 13:29:55,29-05-2026 13:29:56,1.103s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,29-05-2026 13:29:56,29-05-2026 13:29:57,0.824s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:57,29-05-2026 13:29:57,0.520s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 13:29:57,29-05-2026 13:29:58,0.518s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Shipping Address/btn_My Address""), 4)",Chrome 148.0.7778.179,,,29-05-2026 13:29:58,29-05-2026 13:30:01,2.652s,PASSED
"click(findTestObject(""Address Management/Shipping Address/btn_My Address""))",Chrome 148.0.7778.179,,,29-05-2026 13:30:01,29-05-2026 13:30:01,0.501s,PASSED
editBtn = new com.kms.katalon.core.testobject.TestObject(),Chrome 148.0.7778.179,,,29-05-2026 13:30:01,29-05-2026 13:30:01,0.002s,PASSED
"editBtn.addProperty(""xpath"", EQUALS, ""(//button[contains(.,'Edit')])[1]"")",Chrome 148.0.7778.179,,,29-05-2026 13:30:01,29-05-2026 13:30:01,0.006s,PASSED
"click(findTestObject(""Address Management/Shipping Address/btn_Edit""))",Chrome 148.0.7778.179,,,29-05-2026 13:30:01,29-05-2026 13:30:02,0.878s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Edit Address/Field_First Name""), 10)",Chrome 148.0.7778.179,,,29-05-2026 13:30:02,29-05-2026 13:30:02,0.457s,PASSED
"clearText(findTestObject(""Address Management/Edit Address/Field_First Name""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:30:02,29-05-2026 13:30:03,0.259s,PASSED
"setText(findTestObject(""Address Management/Edit Address/Field_First Name""), randomFirstName)",Chrome 148.0.7778.179,,,29-05-2026 13:30:03,29-05-2026 13:30:04,0.891s,PASSED
"clearText(findTestObject(""Address Management/Edit Address/Field_Last Name""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:30:04,29-05-2026 13:30:04,0.692s,PASSED
"setText(findTestObject(""Address Management/Edit Address/Field_Last Name""), randomLastName)",Chrome 148.0.7778.179,,,29-05-2026 13:30:04,29-05-2026 13:30:05,1.212s,PASSED
"clearText(findTestObject(""Address Management/Edit Address/Field_Mobile Phone""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:30:05,29-05-2026 13:30:06,0.472s,PASSED
"setText(findTestObject(""Address Management/Edit Address/Field_Mobile Phone""), randomPhone)",Chrome 148.0.7778.179,,,29-05-2026 13:30:06,29-05-2026 13:30:07,0.806s,PASSED
"clearText(findTestObject(""Address Management/Edit Address/Field_E-mail""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:30:07,29-05-2026 13:30:07,0.468s,PASSED
"setText(findTestObject(""Address Management/Edit Address/Field_E-mail""), randomEmail)",Chrome 148.0.7778.179,,,29-05-2026 13:30:07,29-05-2026 13:30:08,0.857s,PASSED
"clearText(findTestObject(""Address Management/Edit Address/Field_Address""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:30:08,29-05-2026 13:30:08,0.360s,PASSED
"setText(findTestObject(""Address Management/Edit Address/Field_Address""), randomAddress)",Chrome 148.0.7778.179,,,29-05-2026 13:30:08,29-05-2026 13:30:09,0.819s,PASSED
"clearText(findTestObject(""Address Management/Edit Address/Field_ZipPostal Code""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 13:30:09,29-05-2026 13:30:10,0.362s,PASSED
"setText(findTestObject(""Address Management/Edit Address/Field_ZipPostal Code""), randomCode)",Chrome 148.0.7778.179,,,29-05-2026 13:30:10,29-05-2026 13:30:10,0.798s,PASSED
