Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage_TestSuite,Firefox 151.0.1,,,10-06-2026 15:01:38,10-06-2026 15:04:36,2m - 57.518s,PASSED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password not valid,Firefox 151.0.1,,,10-06-2026 15:01:39,10-06-2026 15:02:12,33.482s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,10-06-2026 15:01:41,10-06-2026 15:01:49,8.121s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,10-06-2026 15:01:49,10-06-2026 15:01:50,0.695s,PASSED
enableSmartWait(),Firefox 151.0.1,,,10-06-2026 15:01:50,10-06-2026 15:01:50,0.094s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,10-06-2026 15:01:50,10-06-2026 15:01:57,7.220s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,10-06-2026 15:01:57,10-06-2026 15:01:57,0.611s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:01:57,10-06-2026 15:01:58,0.553s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,10-06-2026 15:01:58,10-06-2026 15:01:59,0.862s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,10-06-2026 15:01:59,10-06-2026 15:01:59,0.365s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,10-06-2026 15:01:59,10-06-2026 15:02:00,0.549s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,10-06-2026 15:02:00,10-06-2026 15:02:01,0.820s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:01,10-06-2026 15:02:02,1.019s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi2"")",Firefox 151.0.1,,,10-06-2026 15:02:02,10-06-2026 15:02:03,1.204s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar1234560"")",Firefox 151.0.1,,,10-06-2026 15:02:03,10-06-2026 15:02:04,1.130s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:04,10-06-2026 15:02:05,0.530s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,10-06-2026 15:02:05,10-06-2026 15:02:05,0.637s,PASSED
loginError = new com.kms.katalon.core.testobject.TestObject(),Firefox 151.0.1,,,10-06-2026 15:02:05,10-06-2026 15:02:05,0.018s,PASSED
"loginError.addProperty(""xpath"", EQUALS, ""//div[@role='alert']//p[contains(text(),'Account or password is not correct')]"")",Firefox 151.0.1,,,10-06-2026 15:02:05,10-06-2026 15:02:05,0.051s,PASSED
"isVisible = waitForElementVisible(loginError, 10, OPTIONAL)",Firefox 151.0.1,,,10-06-2026 15:02:05,10-06-2026 15:02:06,0.653s,PASSED
"comment(""Login Error Visible : "" + isVisible)",Firefox 151.0.1,,,10-06-2026 15:02:06,10-06-2026 15:02:06,0.203s,PASSED
"verifyEqual(isVisible, true)",Firefox 151.0.1,,,10-06-2026 15:02:06,10-06-2026 15:02:06,0.097s,PASSED
closeBrowser(),Firefox 151.0.1,,,10-06-2026 15:02:06,10-06-2026 15:02:09,3.015s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,10-06-2026 15:02:09,10-06-2026 15:02:10,0.649s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password valid,Firefox 151.0.1,,,10-06-2026 15:02:12,10-06-2026 15:02:38,25.718s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,10-06-2026 15:02:13,10-06-2026 15:02:15,2.304s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,10-06-2026 15:02:15,10-06-2026 15:02:16,0.464s,PASSED
enableSmartWait(),Firefox 151.0.1,,,10-06-2026 15:02:16,10-06-2026 15:02:16,0.019s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,10-06-2026 15:02:16,10-06-2026 15:02:19,3.292s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,10-06-2026 15:02:19,10-06-2026 15:02:19,0.419s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:02:19,10-06-2026 15:02:19,0.142s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:19,10-06-2026 15:02:20,0.857s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,10-06-2026 15:02:20,10-06-2026 15:02:21,0.458s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:21,10-06-2026 15:02:21,0.614s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,10-06-2026 15:02:21,10-06-2026 15:02:22,0.933s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:22,10-06-2026 15:02:23,0.818s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,10-06-2026 15:02:23,10-06-2026 15:02:24,0.838s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,10-06-2026 15:02:24,10-06-2026 15:02:25,1.134s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:25,10-06-2026 15:02:26,0.519s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,10-06-2026 15:02:26,10-06-2026 15:02:26,0.450s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:02:26,10-06-2026 15:02:26,0.044s,PASSED
delay(5),Firefox 151.0.1,,,10-06-2026 15:02:26,10-06-2026 15:02:31,5.080s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:31,10-06-2026 15:02:32,0.382s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,10-06-2026 15:02:32,10-06-2026 15:02:32,0.358s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/verify-succes-acount-login""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:32,10-06-2026 15:02:32,0.292s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/verify-succes-acount-login""))",Firefox 151.0.1,,,10-06-2026 15:02:32,10-06-2026 15:02:33,0.291s,PASSED
closeBrowser(),Firefox 151.0.1,,,10-06-2026 15:02:33,10-06-2026 15:02:36,3.035s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,10-06-2026 15:02:36,10-06-2026 15:02:36,0.117s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Search,Firefox 151.0.1,,,10-06-2026 15:02:38,10-06-2026 15:03:02,23.794s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,10-06-2026 15:02:39,10-06-2026 15:02:41,2.324s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,10-06-2026 15:02:41,10-06-2026 15:02:41,0.362s,PASSED
enableSmartWait(),Firefox 151.0.1,,,10-06-2026 15:02:41,10-06-2026 15:02:41,0.025s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,10-06-2026 15:02:41,10-06-2026 15:02:45,4.010s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,10-06-2026 15:02:45,10-06-2026 15:02:47,1.236s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:02:47,10-06-2026 15:02:47,0.377s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:47,10-06-2026 15:02:48,0.556s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,10-06-2026 15:02:48,10-06-2026 15:02:48,0.612s,PASSED
"waitForElementClickable(findTestObject(""WEB/Home Page/Search/icon-search""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:48,10-06-2026 15:02:49,0.609s,PASSED
"enhancedClick(findTestObject(""WEB/Home Page/Search/icon-search""))",Firefox 151.0.1,,,10-06-2026 15:02:49,10-06-2026 15:02:49,0.524s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Search/field-search""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:49,10-06-2026 15:02:50,0.447s,PASSED
"setText(findTestObject(""WEB/Home Page/Search/field-search""), ""IPHONE 11 PRO 128 GB DEEP PURPLE"")",Firefox 151.0.1,,,10-06-2026 15:02:50,10-06-2026 15:02:52,1.897s,PASSED
"sendKeys(findTestObject(""WEB/Home Page/Search/field-search""), Keys.chord(ENTER))",Firefox 151.0.1,,,10-06-2026 15:02:52,10-06-2026 15:02:52,0.624s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:02:52,10-06-2026 15:02:52,0.031s,PASSED
delay(3),Firefox 151.0.1,,,10-06-2026 15:02:52,10-06-2026 15:02:55,3.048s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Search/verify-product-iphone-11-pro""), 30)",Firefox 151.0.1,,,10-06-2026 15:02:55,10-06-2026 15:02:56,0.370s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/Search/verify-product-iphone-11-pro""))",Firefox 151.0.1,,,10-06-2026 15:02:56,10-06-2026 15:02:56,0.558s,PASSED
closeBrowser(),Firefox 151.0.1,,,10-06-2026 15:02:56,10-06-2026 15:02:59,3.098s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,10-06-2026 15:02:59,10-06-2026 15:02:59,0.111s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Verify all product category menus are displayed correctly on the homepage,Firefox 151.0.1,,,10-06-2026 15:03:02,10-06-2026 15:04:35,1m - 33.632s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,10-06-2026 15:03:02,10-06-2026 15:03:04,2.104s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,10-06-2026 15:03:04,10-06-2026 15:03:05,0.451s,PASSED
enableSmartWait(),Firefox 151.0.1,,,10-06-2026 15:03:05,10-06-2026 15:03:05,0.009s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,10-06-2026 15:03:05,10-06-2026 15:03:08,3.055s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,10-06-2026 15:03:08,10-06-2026 15:03:08,0.706s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:03:08,10-06-2026 15:03:09,0.207s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,10-06-2026 15:03:09,10-06-2026 15:03:09,0.525s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,10-06-2026 15:03:09,10-06-2026 15:03:10,0.431s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,10-06-2026 15:03:10,10-06-2026 15:03:10,0.549s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,10-06-2026 15:03:10,10-06-2026 15:03:11,0.975s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,10-06-2026 15:03:11,10-06-2026 15:03:12,1.208s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,10-06-2026 15:03:12,10-06-2026 15:03:13,0.871s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,10-06-2026 15:03:13,10-06-2026 15:03:14,1.210s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,10-06-2026 15:03:14,10-06-2026 15:03:15,0.548s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,10-06-2026 15:03:15,10-06-2026 15:03:15,0.492s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,10-06-2026 15:03:15,10-06-2026 15:03:16,0.027s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,10-06-2026 15:03:16,10-06-2026 15:03:16,0.324s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,10-06-2026 15:03:16,10-06-2026 15:03:17,0.710s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 14 Pro Max""))",Firefox 151.0.1,,,10-06-2026 15:03:17,10-06-2026 15:03:17,0.498s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,10-06-2026 15:03:17,10-06-2026 15:03:18,0.959s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,10-06-2026 15:03:18,10-06-2026 15:03:20,1.638s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13 Pro Max""))",Firefox 151.0.1,,,10-06-2026 15:03:20,10-06-2026 15:03:20,0.398s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,10-06-2026 15:03:20,10-06-2026 15:03:21,0.604s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,10-06-2026 15:03:21,10-06-2026 15:03:21,0.617s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13 Pro""))",Firefox 151.0.1,,,10-06-2026 15:03:21,10-06-2026 15:03:22,0.660s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,10-06-2026 15:03:22,10-06-2026 15:03:24,1.894s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,10-06-2026 15:03:24,10-06-2026 15:03:24,0.453s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13""))",Firefox 151.0.1,,,10-06-2026 15:03:24,10-06-2026 15:03:25,0.520s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,10-06-2026 15:03:25,10-06-2026 15:03:26,0.874s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,10-06-2026 15:03:26,10-06-2026 15:03:27,1.293s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13 mini""))",Firefox 151.0.1,,,10-06-2026 15:03:27,10-06-2026 15:03:27,0.388s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,10-06-2026 15:03:27,10-06-2026 15:03:28,0.616s,PASSED
