Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage_TestSuite,Firefox 151.0.1,,,13-07-2026 15:02:31,13-07-2026 15:04:37,2m - 5.597s,PASSED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password not valid,Firefox 151.0.1,,,13-07-2026 15:02:32,13-07-2026 15:02:48,16.147s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,13-07-2026 15:02:32,13-07-2026 15:02:37,4.655s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,13-07-2026 15:02:37,13-07-2026 15:02:37,0.474s,PASSED
enableSmartWait(),Firefox 151.0.1,,,13-07-2026 15:02:37,13-07-2026 15:02:37,0.017s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,13-07-2026 15:02:37,13-07-2026 15:02:40,2.542s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,13-07-2026 15:02:40,13-07-2026 15:02:40,0.081s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,13-07-2026 15:02:40,13-07-2026 15:02:40,0.100s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:40,13-07-2026 15:02:41,0.758s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,13-07-2026 15:02:41,13-07-2026 15:02:41,0.245s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:41,13-07-2026 15:02:41,0.271s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,13-07-2026 15:02:41,13-07-2026 15:02:41,0.351s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:41,13-07-2026 15:02:42,0.551s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi2"")",Firefox 151.0.1,,,13-07-2026 15:02:42,13-07-2026 15:02:43,0.541s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar1234560"")",Firefox 151.0.1,,,13-07-2026 15:02:43,13-07-2026 15:02:43,0.724s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:43,13-07-2026 15:02:44,0.445s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,13-07-2026 15:02:44,13-07-2026 15:02:44,0.301s,PASSED
loginError = new com.kms.katalon.core.testobject.TestObject(),Firefox 151.0.1,,,13-07-2026 15:02:44,13-07-2026 15:02:44,0.002s,PASSED
"loginError.addProperty(""xpath"", EQUALS, ""//div[@role='alert']//p[contains(text(),'Account or password is not correct')]"")",Firefox 151.0.1,,,13-07-2026 15:02:44,13-07-2026 15:02:44,0.007s,PASSED
"isVisible = waitForElementVisible(loginError, 10, OPTIONAL)",Firefox 151.0.1,,,13-07-2026 15:02:44,13-07-2026 15:02:45,0.731s,PASSED
"comment(""Login Error Visible : "" + isVisible)",Firefox 151.0.1,,,13-07-2026 15:02:45,13-07-2026 15:02:45,0.020s,PASSED
"verifyEqual(isVisible, true)",Firefox 151.0.1,,,13-07-2026 15:02:45,13-07-2026 15:02:45,0.010s,PASSED
closeBrowser(),Firefox 151.0.1,,,13-07-2026 15:02:45,13-07-2026 15:02:46,0.760s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,13-07-2026 15:02:46,13-07-2026 15:02:46,0.112s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password valid,Firefox 151.0.1,,,13-07-2026 15:02:48,13-07-2026 15:03:06,18.379s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,13-07-2026 15:02:48,13-07-2026 15:02:50,2.674s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,13-07-2026 15:02:50,13-07-2026 15:02:51,0.352s,PASSED
enableSmartWait(),Firefox 151.0.1,,,13-07-2026 15:02:51,13-07-2026 15:02:51,0.007s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,13-07-2026 15:02:51,13-07-2026 15:02:53,2.020s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,13-07-2026 15:02:53,13-07-2026 15:02:53,0.082s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,13-07-2026 15:02:53,13-07-2026 15:02:53,0.027s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:53,13-07-2026 15:02:53,0.317s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,13-07-2026 15:02:53,13-07-2026 15:02:54,0.252s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:54,13-07-2026 15:02:54,0.556s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,13-07-2026 15:02:54,13-07-2026 15:02:54,0.304s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,13-07-2026 15:02:54,13-07-2026 15:02:55,0.630s,PASSED
