Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:41,18-06-2026 09:46:42,0.621s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,18-06-2026 09:46:42,18-06-2026 09:46:42,0.359s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/verify-succes-acount-login""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:42,18-06-2026 09:46:43,0.319s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/verify-succes-acount-login""))",Firefox 151.0.1,,,18-06-2026 09:46:43,18-06-2026 09:46:43,0.314s,PASSED
closeBrowser(),Firefox 151.0.1,,,18-06-2026 09:46:43,18-06-2026 09:46:45,2.209s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,18-06-2026 09:46:45,18-06-2026 09:46:45,0.100s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Search,Firefox 151.0.1,,,18-06-2026 09:46:48,18-06-2026 09:47:10,22.109s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,18-06-2026 09:46:48,18-06-2026 09:46:50,2.538s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,18-06-2026 09:46:50,18-06-2026 09:46:51,0.479s,PASSED
enableSmartWait(),Firefox 151.0.1,,,18-06-2026 09:46:51,18-06-2026 09:46:51,0.017s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,18-06-2026 09:46:51,18-06-2026 09:46:54,3.213s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,18-06-2026 09:46:54,18-06-2026 09:46:55,0.785s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,18-06-2026 09:46:55,18-06-2026 09:46:55,0.303s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:55,18-06-2026 09:46:56,0.471s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,18-06-2026 09:46:56,18-06-2026 09:46:56,0.456s,PASSED
"waitForElementClickable(findTestObject(""WEB/Home Page/Search/icon-search""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:56,18-06-2026 09:46:57,0.489s,PASSED
"enhancedClick(findTestObject(""WEB/Home Page/Search/icon-search""))",Firefox 151.0.1,,,18-06-2026 09:46:57,18-06-2026 09:46:57,0.559s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Search/field-search""), 30)",Firefox 151.0.1,,,18-06-2026 09:46:57,18-06-2026 09:46:58,0.486s,PASSED
"setText(findTestObject(""WEB/Home Page/Search/field-search""), ""IPHONE 11 PRO 128 GB DEEP PURPLE"")",Firefox 151.0.1,,,18-06-2026 09:46:58,18-06-2026 09:46:59,1.067s,PASSED
"sendKeys(findTestObject(""WEB/Home Page/Search/field-search""), Keys.chord(ENTER))",Firefox 151.0.1,,,18-06-2026 09:46:59,18-06-2026 09:47:01,1.779s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,18-06-2026 09:47:01,18-06-2026 09:47:01,0.020s,PASSED
delay(3),Firefox 151.0.1,,,18-06-2026 09:47:01,18-06-2026 09:47:04,3.003s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Search/verify-product-iphone-11-pro""), 30)",Firefox 151.0.1,,,18-06-2026 09:47:04,18-06-2026 09:47:04,0.659s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/Search/verify-product-iphone-11-pro""))",Firefox 151.0.1,,,18-06-2026 09:47:04,18-06-2026 09:47:05,0.316s,PASSED
closeBrowser(),Firefox 151.0.1,,,18-06-2026 09:47:05,18-06-2026 09:47:07,2.673s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,18-06-2026 09:47:07,18-06-2026 09:47:07,0.089s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Verify all product category menus are displayed correctly on the homepage,Firefox 151.0.1,,,18-06-2026 09:47:10,18-06-2026 09:48:39,1m - 28.899s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,18-06-2026 09:47:10,18-06-2026 09:47:12,2.176s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,18-06-2026 09:47:12,18-06-2026 09:47:13,0.351s,PASSED
enableSmartWait(),Firefox 151.0.1,,,18-06-2026 09:47:13,18-06-2026 09:47:13,0.009s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,18-06-2026 09:47:13,18-06-2026 09:47:15,2.527s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,18-06-2026 09:47:15,18-06-2026 09:47:16,0.510s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,18-06-2026 09:47:16,18-06-2026 09:47:16,0.254s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,18-06-2026 09:47:16,18-06-2026 09:47:17,0.532s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,18-06-2026 09:47:17,18-06-2026 09:47:17,0.436s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,18-06-2026 09:47:17,18-06-2026 09:47:17,0.404s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,18-06-2026 09:47:17,18-06-2026 09:47:18,0.737s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,18-06-2026 09:47:18,18-06-2026 09:47:19,1.084s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,18-06-2026 09:47:19,18-06-2026 09:47:20,0.953s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,18-06-2026 09:47:20,18-06-2026 09:47:21,0.996s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,18-06-2026 09:47:21,18-06-2026 09:47:22,0.514s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,18-06-2026 09:47:22,18-06-2026 09:47:22,0.530s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,18-06-2026 09:47:22,18-06-2026 09:47:22,0.035s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:22,18-06-2026 09:47:23,0.372s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:23,18-06-2026 09:47:23,0.628s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 14 Pro Max""))",Firefox 151.0.1,,,18-06-2026 09:47:23,18-06-2026 09:47:24,0.456s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:24,18-06-2026 09:47:25,1.044s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:25,18-06-2026 09:47:26,1.573s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13 Pro Max""))",Firefox 151.0.1,,,18-06-2026 09:47:26,18-06-2026 09:47:27,0.432s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:27,18-06-2026 09:47:28,0.819s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:28,18-06-2026 09:47:28,0.532s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13 Pro""))",Firefox 151.0.1,,,18-06-2026 09:47:28,18-06-2026 09:47:29,0.520s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:29,18-06-2026 09:47:29,0.669s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:29,18-06-2026 09:47:31,1.328s,PASSED
"click(findTestObject(""WEB/Home Page/Page Iphone/sub-menu-iPhone 13""))",Firefox 151.0.1,,,18-06-2026 09:47:31,18-06-2026 09:47:31,0.441s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), 10)",Firefox 151.0.1,,,18-06-2026 09:47:31,18-06-2026 09:47:32,0.632s,PASSED
"mouseOver(findTestObject(""WEB/Home Page/Page Iphone/menu-iphone""), STOP_ON_FAILURE)",Firefox 151.0.1,,,18-06-2026 09:47:32,18-06-2026 09:47:33,1.473s,PASSED
