Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HomePage_TestSuite,Firefox 151.0.1,,,01-07-2026 10:56:07,01-07-2026 10:58:25,2m - 17.935s,PASSED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password not valid,Firefox 151.0.1,,,01-07-2026 10:56:07,01-07-2026 10:56:27,19.176s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,01-07-2026 10:56:08,01-07-2026 10:56:13,5.605s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,01-07-2026 10:56:13,01-07-2026 10:56:14,0.535s,PASSED
enableSmartWait(),Firefox 151.0.1,,,01-07-2026 10:56:14,01-07-2026 10:56:14,0.016s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,01-07-2026 10:56:14,01-07-2026 10:56:18,4.447s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,01-07-2026 10:56:18,01-07-2026 10:56:18,0.073s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:56:18,01-07-2026 10:56:19,0.129s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:19,01-07-2026 10:56:19,0.357s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,01-07-2026 10:56:19,01-07-2026 10:56:19,0.258s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:19,01-07-2026 10:56:20,0.281s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,01-07-2026 10:56:20,01-07-2026 10:56:20,0.380s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:20,01-07-2026 10:56:21,0.742s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi2"")",Firefox 151.0.1,,,01-07-2026 10:56:21,01-07-2026 10:56:21,0.583s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar1234560"")",Firefox 151.0.1,,,01-07-2026 10:56:21,01-07-2026 10:56:22,0.754s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:22,01-07-2026 10:56:22,0.452s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,01-07-2026 10:56:22,01-07-2026 10:56:23,0.297s,PASSED
loginError = new com.kms.katalon.core.testobject.TestObject(),Firefox 151.0.1,,,01-07-2026 10:56:23,01-07-2026 10:56:23,0.009s,PASSED
"loginError.addProperty(""xpath"", EQUALS, ""//div[@role='alert']//p[contains(text(),'Account or password is not correct')]"")",Firefox 151.0.1,,,01-07-2026 10:56:23,01-07-2026 10:56:23,0.012s,PASSED
"isVisible = waitForElementVisible(loginError, 10, OPTIONAL)",Firefox 151.0.1,,,01-07-2026 10:56:23,01-07-2026 10:56:23,0.738s,PASSED
"comment(""Login Error Visible : "" + isVisible)",Firefox 151.0.1,,,01-07-2026 10:56:23,01-07-2026 10:56:24,0.018s,PASSED
"verifyEqual(isVisible, true)",Firefox 151.0.1,,,01-07-2026 10:56:24,01-07-2026 10:56:24,0.011s,PASSED
closeBrowser(),Firefox 151.0.1,,,01-07-2026 10:56:24,01-07-2026 10:56:24,0.846s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,01-07-2026 10:56:24,01-07-2026 10:56:25,0.157s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Login with data akun and password valid,Firefox 151.0.1,,,01-07-2026 10:56:27,01-07-2026 10:56:49,22.289s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,01-07-2026 10:56:27,01-07-2026 10:56:30,3.084s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,01-07-2026 10:56:30,01-07-2026 10:56:30,0.386s,PASSED
enableSmartWait(),Firefox 151.0.1,,,01-07-2026 10:56:30,01-07-2026 10:56:30,0.004s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,01-07-2026 10:56:30,01-07-2026 10:56:36,5.440s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,01-07-2026 10:56:36,01-07-2026 10:56:36,0.044s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:56:36,01-07-2026 10:56:36,0.014s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:36,01-07-2026 10:56:36,0.251s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,01-07-2026 10:56:36,01-07-2026 10:56:36,0.230s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:36,01-07-2026 10:56:36,0.264s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,01-07-2026 10:56:36,01-07-2026 10:56:37,0.351s,PASSED
"waitForElementVisible(findTestObject(""WEB/Registration/field-account""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:37,01-07-2026 10:56:37,0.733s,PASSED
"setText(findTestObject(""WEB/Registration/field-account""), ""agungpriyadi"")",Firefox 151.0.1,,,01-07-2026 10:56:37,01-07-2026 10:56:38,0.524s,PASSED
"setText(findTestObject(""WEB/Registration/field-Password""), ""Laskar123456"")",Firefox 151.0.1,,,01-07-2026 10:56:38,01-07-2026 10:56:39,0.725s,PASSED
"waitForElementClickable(findTestObject(""WEB/Login/btn-sign in""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:39,01-07-2026 10:56:39,0.439s,PASSED
"enhancedClick(findTestObject(""WEB/Login/btn-sign in""))",Firefox 151.0.1,,,01-07-2026 10:56:39,01-07-2026 10:56:39,0.326s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:56:39,01-07-2026 10:56:39,0.010s,PASSED
delay(5),Firefox 151.0.1,,,01-07-2026 10:56:39,01-07-2026 10:56:45,5.020s,PASSED
"waitForElementClickable(findTestObject(""WEB/Registration/icon-acount""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:45,01-07-2026 10:56:45,0.246s,PASSED
"enhancedClick(findTestObject(""WEB/Registration/icon-acount""))",Firefox 151.0.1,,,01-07-2026 10:56:45,01-07-2026 10:56:45,0.285s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/verify-succes-acount-login""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:45,01-07-2026 10:56:46,0.736s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/verify-succes-acount-login""))",Firefox 151.0.1,,,01-07-2026 10:56:46,01-07-2026 10:56:46,0.225s,PASSED
closeBrowser(),Firefox 151.0.1,,,01-07-2026 10:56:46,01-07-2026 10:56:47,0.770s,PASSED
Start listener action : afterTestCase,Firefox 151.0.1,,,01-07-2026 10:56:47,01-07-2026 10:56:47,0.027s,FAILED
,,,,,,,
Test Cases/WEB/Home Page/Home - Ensure Menu Search,Firefox 151.0.1,,,01-07-2026 10:56:49,01-07-2026 10:57:07,18.117s,PASSED
"openBrowser("""")",Firefox 151.0.1,,,01-07-2026 10:56:49,01-07-2026 10:56:52,3.244s,PASSED
"setViewPortSize(1920, 1080)",Firefox 151.0.1,,,01-07-2026 10:56:52,01-07-2026 10:56:53,0.362s,PASSED
enableSmartWait(),Firefox 151.0.1,,,01-07-2026 10:56:53,01-07-2026 10:56:53,0.004s,PASSED
navigateToUrl(URL),Firefox 151.0.1,,,01-07-2026 10:56:53,01-07-2026 10:56:56,3.553s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Firefox 151.0.1,,,01-07-2026 10:56:56,01-07-2026 10:56:56,0.063s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:56:56,01-07-2026 10:56:56,0.021s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/header_digibox""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:56,01-07-2026 10:56:57,0.510s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/header_digibox""))",Firefox 151.0.1,,,01-07-2026 10:56:57,01-07-2026 10:56:57,0.244s,PASSED
"waitForElementClickable(findTestObject(""WEB/Home Page/Search/icon-search""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:57,01-07-2026 10:56:57,0.259s,PASSED
"enhancedClick(findTestObject(""WEB/Home Page/Search/icon-search""))",Firefox 151.0.1,,,01-07-2026 10:56:57,01-07-2026 10:56:58,0.311s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Search/field-search""), 30)",Firefox 151.0.1,,,01-07-2026 10:56:58,01-07-2026 10:56:58,0.240s,PASSED
"setText(findTestObject(""WEB/Home Page/Search/field-search""), ""IPHONE 11 PRO 128 GB DEEP PURPLE"")",Firefox 151.0.1,,,01-07-2026 10:56:58,01-07-2026 10:56:58,0.593s,PASSED
"sendKeys(findTestObject(""WEB/Home Page/Search/field-search""), Keys.chord(ENTER))",Firefox 151.0.1,,,01-07-2026 10:56:58,01-07-2026 10:57:00,1.595s,PASSED
waitForPageLoad(30),Firefox 151.0.1,,,01-07-2026 10:57:00,01-07-2026 10:57:00,0.009s,PASSED
delay(3),Firefox 151.0.1,,,01-07-2026 10:57:00,01-07-2026 10:57:03,3.015s,PASSED
"waitForElementVisible(findTestObject(""WEB/Home Page/Search/verify-product-iphone-11-pro""), 30)",Firefox 151.0.1,,,01-07-2026 10:57:03,01-07-2026 10:57:03,0.432s,PASSED
"verifyElementVisible(findTestObject(""WEB/Home Page/Search/verify-product-iphone-11-pro""))",Firefox 151.0.1,,,01-07-2026 10:57:03,01-07-2026 10:57:04,0.630s,PASSED
closeBrowser(),Firefox 151.0.1,,,01-07-2026 10:57:04,01-07-2026 10:57:05,0.832s,PASSED
