Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Password_TestSuite,Chrome 148.0.7778.179,,,29-05-2026 14:01:51,29-05-2026 14:03:19,1m - 27.985s,PASSED
,,,,,,,
Test Cases/WEB/Password/Ensure user cannot input invalid password length,Chrome 148.0.7778.179,,,29-05-2026 14:01:51,29-05-2026 14:02:26,34.900s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,29-05-2026 14:01:53,29-05-2026 14:02:04,11.273s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:04,29-05-2026 14:02:05,1.077s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:05,29-05-2026 14:02:06,0.988s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Forgot passwords""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:06,29-05-2026 14:02:07,1.063s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_Email""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:07,29-05-2026 14:02:09,1.428s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Send validation code to email""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 14:02:09,29-05-2026 14:02:09,0.710s,PASSED
"waitForElementVisible(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), 10)",Chrome 148.0.7778.179,,,29-05-2026 14:02:09,29-05-2026 14:02:10,0.880s,PASSED
"verifyElementText(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), ""Validation code sent successfully!"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:10,29-05-2026 14:02:11,0.416s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_Validation Code""), ""123456"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:11,29-05-2026 14:02:13,2.301s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_New Password""), ""123"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:13,29-05-2026 14:02:16,2.474s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Reset Password""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:16,29-05-2026 14:02:19,3.556s,PASSED
"verifyTextPresent(""Password length is 6-20 digits"", false)",Chrome 148.0.7778.179,,,29-05-2026 14:02:19,29-05-2026 14:02:21,1.502s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,29-05-2026 14:02:21,29-05-2026 14:02:22,1.479s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,29-05-2026 14:02:22,29-05-2026 14:02:24,2.152s,PASSED
,,,,,,,
Test Cases/WEB/Password/Ensure user cannot reset password using invalid validation code,Chrome 148.0.7778.179,,,29-05-2026 14:02:26,29-05-2026 14:02:49,22.311s,PASSED
"openBrowser("""")",Chrome 148.0.7778.179,,,29-05-2026 14:02:27,29-05-2026 14:02:32,5.100s,PASSED
custom.BrowserHelper.setupBrowserWindow(),Chrome 148.0.7778.179,,,29-05-2026 14:02:32,29-05-2026 14:02:32,0.200s,PASSED
enableSmartWait(),Chrome 148.0.7778.179,,,29-05-2026 14:02:32,29-05-2026 14:02:32,0.025s,PASSED
navigateToUrl(URL),Chrome 148.0.7778.179,,,29-05-2026 14:02:32,29-05-2026 14:02:35,2.794s,PASSED
waitForPageLoad(10),Chrome 148.0.7778.179,,,29-05-2026 14:02:35,29-05-2026 14:02:35,0.110s,PASSED
"waitForElementVisible(findTestObject(""Home Page/header_digibox""), 15)",Chrome 148.0.7778.179,,,29-05-2026 14:02:35,29-05-2026 14:02:35,0.329s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:35,29-05-2026 14:02:35,0.292s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:35,29-05-2026 14:02:36,0.431s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Forgot passwords""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:36,29-05-2026 14:02:37,0.835s,PASSED
"waitForElementVisible(findTestObject(""Password/Page_Forgot Password/txtField_Email""), 10)",Chrome 148.0.7778.179,,,29-05-2026 14:02:37,29-05-2026 14:02:37,0.453s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_Email""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:37,29-05-2026 14:02:38,0.693s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Send validation code to email""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 14:02:38,29-05-2026 14:02:38,0.576s,PASSED
"waitForElementVisible(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), 10)",Chrome 148.0.7778.179,,,29-05-2026 14:02:38,29-05-2026 14:02:39,0.755s,PASSED
"verifyElementText(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), ""Validation code sent successfully!"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:39,29-05-2026 14:02:39,0.237s,PASSED
"waitForElementVisible(findTestObject(""Password/Page_Forgot Password/txtField_Validation Code""), 10)",Chrome 148.0.7778.179,,,29-05-2026 14:02:39,29-05-2026 14:02:40,0.243s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_Validation Code""), ""123456"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:40,29-05-2026 14:02:40,0.618s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_New Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:40,29-05-2026 14:02:41,0.892s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Reset Password""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:41,29-05-2026 14:02:42,0.536s,PASSED
delay(3),Chrome 148.0.7778.179,,,29-05-2026 14:02:42,29-05-2026 14:02:45,3.035s,PASSED
"invalidCode = verifyTextPresent(""Invalid code"", false, OPTIONAL)",Chrome 148.0.7778.179,,,29-05-2026 14:02:45,29-05-2026 14:02:45,0.333s,PASSED
if (invalidCode),Chrome 148.0.7778.179,,,29-05-2026 14:02:45,29-05-2026 14:02:45,0.016s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,29-05-2026 14:02:45,29-05-2026 14:02:45,0.388s,PASSED
closeBrowser(),Chrome 148.0.7778.179,,,29-05-2026 14:02:45,29-05-2026 14:02:47,1.133s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,29-05-2026 14:02:47,29-05-2026 14:02:47,0.054s,ERROR
,,,,,,,
Test Cases/WEB/Password/Ensure user Empty Email Field on Forgot Password,Chrome 148.0.7778.179,,,29-05-2026 14:02:49,29-05-2026 14:03:01,12.704s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,29-05-2026 14:02:49,29-05-2026 14:02:52,3.504s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:52,29-05-2026 14:02:53,0.322s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:53,29-05-2026 14:02:53,0.796s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Forgot passwords""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:53,29-05-2026 14:02:54,0.828s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_Email""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:54,29-05-2026 14:02:55,0.829s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Send validation code to email""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 14:02:55,29-05-2026 14:02:56,0.504s,PASSED
"waitForElementVisible(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), 10)",Chrome 148.0.7778.179,,,29-05-2026 14:02:56,29-05-2026 14:02:56,0.734s,PASSED
"verifyElementText(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), ""Validation code sent successfully!"")",Chrome 148.0.7778.179,,,29-05-2026 14:02:56,29-05-2026 14:02:57,0.237s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_New Password""), """")",Chrome 148.0.7778.179,,,29-05-2026 14:02:57,29-05-2026 14:02:57,0.537s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Reset Password""))",Chrome 148.0.7778.179,,,29-05-2026 14:02:57,29-05-2026 14:02:58,0.490s,PASSED
"verifyTextPresent(""Required"", false)",Chrome 148.0.7778.179,,,29-05-2026 14:02:58,29-05-2026 14:02:58,0.565s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,29-05-2026 14:02:58,29-05-2026 14:02:59,0.473s,PASSED
Start listener action : afterTestCase,Chrome 148.0.7778.179,,,29-05-2026 14:02:59,29-05-2026 14:02:59,0.566s,PASSED
,,,,,,,
Test Cases/WEB/Password/Ensure user Empty Validation Code,Chrome 148.0.7778.179,,,29-05-2026 14:03:01,29-05-2026 14:03:18,16.325s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,29-05-2026 14:03:02,29-05-2026 14:03:06,3.829s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,29-05-2026 14:03:06,29-05-2026 14:03:06,0.343s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,29-05-2026 14:03:06,29-05-2026 14:03:07,1.176s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Forgot passwords""))",Chrome 148.0.7778.179,,,29-05-2026 14:03:07,29-05-2026 14:03:09,1.273s,PASSED
"setText(findTestObject(""Password/Page_Forgot Password/txtField_Email""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,29-05-2026 14:03:09,29-05-2026 14:03:10,1.418s,PASSED
"click(findTestObject(""Password/Page_Forgot Password/btn_Send validation code to email""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,29-05-2026 14:03:10,29-05-2026 14:03:11,0.778s,PASSED
"waitForElementVisible(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), 10)",Chrome 148.0.7778.179,,,29-05-2026 14:03:11,29-05-2026 14:03:11,0.746s,PASSED
"verifyElementText(findTestObject(""Password/Page_Forgot Password/msg_ValidationCodeSuccess""), ""Validation code sent successfully!"")",Chrome 148.0.7778.179,,,29-05-2026 14:03:11,29-05-2026 14:03:12,0.315s,PASSED
