Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Address_TestSuite,Chrome 148.0.7778.179,,,22-05-2026 17:54:58,22-05-2026 18:00:25,5m - 26.882s,PASSED
,,,,,,,
Test Cases/WEB/Address Management/Ensure My Address - add new address,Chrome 148.0.7778.179,,,22-05-2026 17:54:58,22-05-2026 17:56:05,1m - 6.843s,PASSED
randomFirstName = custom.RandomData.generateRandomFirstName(),Chrome 148.0.7778.179,,,22-05-2026 17:54:58,22-05-2026 17:54:58,0.067s,PASSED
randomEmail = custom.RandomData.generateRandomEmail(),Chrome 148.0.7778.179,,,22-05-2026 17:54:58,22-05-2026 17:54:59,0.060s,PASSED
randomLastName = custom.RandomData.generateRandomLastName(),Chrome 148.0.7778.179,,,22-05-2026 17:54:59,22-05-2026 17:54:59,0.012s,PASSED
randomPhone = custom.RandomData.generateRandomPhone(),Chrome 148.0.7778.179,,,22-05-2026 17:54:59,22-05-2026 17:54:59,0.017s,PASSED
randomAddress = custom.RandomData.generateRandomAddress(),Chrome 148.0.7778.179,,,22-05-2026 17:54:59,22-05-2026 17:54:59,0.007s,PASSED
randomCode = custom.RandomData.generateRandomCode(),Chrome 148.0.7778.179,,,22-05-2026 17:54:59,22-05-2026 17:54:59,0.006s,PASSED
openBrowser(URL),Chrome 148.0.7778.179,,,22-05-2026 17:54:59,22-05-2026 17:55:10,11.034s,PASSED
"verifyElementVisible(findTestObject(""Home Page/header_digibox""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:10,22-05-2026 17:55:11,1.324s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:11,22-05-2026 17:55:13,1.875s,PASSED
"setText(findTestObject(""Registration/field-account""), ""agungpriyadi"")",Chrome 148.0.7778.179,,,22-05-2026 17:55:13,22-05-2026 17:55:15,1.871s,PASSED
"setText(findTestObject(""Registration/field-Password""), ""Laskar123456"")",Chrome 148.0.7778.179,,,22-05-2026 17:55:15,22-05-2026 17:55:16,1.584s,PASSED
"click(findTestObject(""Login/btn-sign in""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:16,22-05-2026 17:55:17,1.173s,PASSED
"click(findTestObject(""Registration/icon-acount""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:17,22-05-2026 17:55:18,0.813s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Shipping Address/btn_My Address""), 4)",Chrome 148.0.7778.179,,,22-05-2026 17:55:18,22-05-2026 17:55:21,2.891s,PASSED
"click(findTestObject(""Address Management/Shipping Address/btn_My Address""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:21,22-05-2026 17:55:22,1.003s,PASSED
"click(findTestObject(""Address Management/Add New Address/radiobtn_Add New Address""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:22,22-05-2026 17:55:24,1.670s,PASSED
"waitForElementVisible(findTestObject(""Address Management/Add New Address/field_First Name""), 10)",Chrome 148.0.7778.179,,,22-05-2026 17:55:24,22-05-2026 17:55:25,0.653s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_First Name""), randomFirstName)",Chrome 148.0.7778.179,,,22-05-2026 17:55:25,22-05-2026 17:55:26,1.304s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_Last Name""), randomLastName)",Chrome 148.0.7778.179,,,22-05-2026 17:55:26,22-05-2026 17:55:28,2.559s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_Mobile Phone""), randomPhone)",Chrome 148.0.7778.179,,,22-05-2026 17:55:28,22-05-2026 17:55:31,2.731s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_E-mail""), randomEmail)",Chrome 148.0.7778.179,,,22-05-2026 17:55:31,22-05-2026 17:55:33,2.136s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_Address""), randomAddress)",Chrome 148.0.7778.179,,,22-05-2026 17:55:33,22-05-2026 17:55:36,2.560s,PASSED
"click(findTestObject(""Address Management/Add New Address/field_Province""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:36,22-05-2026 17:55:39,2.974s,PASSED
"mouseOver(findTestObject(""Address Management/Add New Address/Dropdown Province/li_Banteay Meanchey Province""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:39,22-05-2026 17:55:40,1.662s,PASSED
"click(findTestObject(""Address Management/Add New Address/Dropdown Province/li_Banteay Meanchey Province""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:40,22-05-2026 17:55:42,1.792s,PASSED
"click(findTestObject(""Address Management/Add New Address/field_Select Province""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:42,22-05-2026 17:55:44,1.667s,PASSED
"mouseOver(findTestObject(""Address Management/Add New Address/Dropdown Select Province/li_Ou Chrov District""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:44,22-05-2026 17:55:46,1.907s,PASSED
"click(findTestObject(""Address Management/Add New Address/Dropdown Select Province/li_Ou Chrov District""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:46,22-05-2026 17:55:48,2.376s,PASSED
"click(findTestObject(""Address Management/Add New Address/field_Districts""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:48,22-05-2026 17:55:51,2.342s,PASSED
"mouseOver(findTestObject(""Address Management/Add New Address/Dropdown District/li_Koub Commune""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,22-05-2026 17:55:51,22-05-2026 17:55:52,1.746s,PASSED
"click(findTestObject(""Address Management/Add New Address/Dropdown District/li_Koub Commune""), STOP_ON_FAILURE)",Chrome 148.0.7778.179,,,22-05-2026 17:55:52,22-05-2026 17:55:54,1.867s,PASSED
"setText(findTestObject(""Address Management/Add New Address/field_ZipPostal Code""), randomCode)",Chrome 148.0.7778.179,,,22-05-2026 17:55:54,22-05-2026 17:55:56,2.085s,PASSED
"click(findTestObject(""Address Management/Add New Address/button_Save""))",Chrome 148.0.7778.179,,,22-05-2026 17:55:56,22-05-2026 17:55:57,0.831s,PASSED
"scrollToElement(findTestObject(""Address Management/Shipping Address/lbl_Shipping Address""), 3)",Chrome 148.0.7778.179,,,22-05-2026 17:55:57,22-05-2026 17:55:58,0.543s,PASSED
takeScreenshot(),Chrome 148.0.7778.179,,,22-05-2026 17:55:58,22-05-2026 17:55:59,1.083s,PASSED
"comment(""Email      : "" + randomEmail)",Chrome 148.0.7778.179,,,22-05-2026 17:55:59,22-05-2026 17:55:59,0.145s,PASSED
"comment(""First Name : "" + randomFirstName)",Chrome 148.0.7778.179,,,22-05-2026 17:55:59,22-05-2026 17:55:59,0.047s,PASSED
"comment(""Last Name  : "" + randomLastName)",Chrome 148.0.7778.179,,,22-05-2026 17:55:59,22-05-2026 17:55:59,0.065s,PASSED
